"","dorm","gender","race","gap_year","international","pre-orientation","sports","first_meet","second_meet","third_meet","fourth-meet","know_street","know_by_name","know_annenberg","satisfied","extra","respondent_id","first_id","second_id","third_id","fourth_id","most_id"
"1","Hollis Hall","Female","Black or African American","No","No","FCU - Fall Clean-Up with Dorm Crew","No","Pre-Orientation, Social Media","Classes, Pre-Orientation, Social Events, Social Media, Cultural/Racial Organization","Pre-Orientation, Social Events, Social Media","Mutual Friends, Cultural/Racial Organization","50-100","50-100","20-50","Very Satisfied",NA,1223,69,37,1036,587,69
"2","Grays Hall","Female","Asian / Pacific Islander","No","No","None","Yes (Intermural)","Classes, Creative/Performing Arts Organization, Cultural/Racial Organization","Classes, Datamatch","Mutual Friends","Classes","100-250","50-100","0-20","Satisfied",NA,760,794,319,35,34,1575
"3","Thayer Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Intermural)","Dorm, Pre-Orientation","Pre-Orientation, Social Events, Mutual Friends, Cultural/Racial Organization, Visitas","Classes, Mutual Friends","Classes, Pre-Orientation, Social Events, Mutual Friends","500-1000","250-500","100-250","Very Satisfied",NA,273,289,1570,1030,303,1575
"4","Stoughton Hall","Male","White, Asian / Pacific Islander","Yes","Yes","None","Yes (Varsity)","Athletics","Athletics","Athletics","Dorm","50-100","0-50","0-20","Satisfied",NA,1558,441,441,1441,981,1358
"5","Wigglesworth Hall","Female","White, Hispanic or Latino","Yes","No","None","Yes (Club)","Dorm","Dorm","Dorm","Dorm","100-250","50-100","0-20","Satisfied",NA,626,105,798,27,647,636
"6","Weld Hall","Female","White, Asian / Pacific Islander","No","No","None","No","Dorm","Dorm","Social Events, Mutual Friends","Dorm","250-500","100-250","0-20","Satisfied",NA,1596,1099,1408,1503,308,1512
"7","Matthews Hall","Male","White","No","No","FCU - Fall Clean-Up with Dorm Crew","No","Government/Politics Organization","Social Events, Government/Politics Organization","Government/Politics Organization","Government/Politics Organization","250-500","50-100","20-50","Dissatisfied",NA,175,99,1575,1229,905,1575
"8","Greenough Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No","Dorm, Before College","Before College","Mutual Friends","Mutual Friends, Before College","500-1000","250-500","100-250","Satisfied",NA,710,1285,1087,872,1102,1575
"9","Canaday Hall","Female","Black or African American","No","No","FYRE - First-Year Retreat and Experience","No","Classes, Pre-Orientation","Classes, Social Events, Mutual Friends, Cultural/Racial Organization","Classes, Mutual Friends, Cultural/Racial Organization","Dorm","100-250","50-100","0-20","Satisfied",NA,1459,1472,38,276,750,18
"10","Stoughton Hall","Female","Black or African American","Yes","Yes","None","Yes (Varsity)","Athletics","Athletics","Athletics","Athletics","100-250","0-50","0-20","Very Satisfied",NA,1126,494,1471,1235,312,1321
"11","Canaday Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Varsity)","Athletics","Pre-Orientation","Athletics","Annenberg","100-250","50-100","50-100","Satisfied",NA,278,1012,1557,511,1231,1575
"12","Pennypacker Hall","Female","White","No","No","FCU - Fall Clean-Up with Dorm Crew","No","Dorm","Dorm","Dorm","Dorm","0-50","0-50","0-20","Satisfied",NA,108,1228,666,390,1401,9999
"13","Weld Hall","Female","Black or African American","No","No","FCU - Fall Clean-Up with Dorm Crew","No","Visitas","Visitas","Cultural/Racial Organization","Visitas","50-100","50-100","20-50","Satisfied",NA,696,539,384,184,1158,303
"14","Matthews Hall","Female","White","No","No","FOP - First-Year Outdoor Program","Yes (Club)","Visitas","Athletics","Athletics","Pre-Orientation","250-500","100-250","20-50","Satisfied",NA,765,1557,1109,692,34,1348
"15","Greenough Hall","Female","White","No","No","None","Yes (Varsity)","Mutual Friends","Athletics","Dorm","Social Events","100-250","50-100","20-50","Satisfied",NA,1383,1629,620,1012,1531,1011
"16","Weld Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No","Dorm","Mutual Friends","Classes","Harvard Club of Philadelphia event","100-250","50-100","20-50","Neutral",NA,926,1212,1187,134,519,1236
"17","Greenough Hall","Female","White","No","No","FOP - First-Year Outdoor Program","Yes (Varsity)","Classes, Athletics","Athletics","Athletics","Dorm","100-250","50-100","20-50","Satisfied",NA,494,1126,1235,1471,575,78
"18","Grays Hall","Male","White","No","No","FOP - First-Year Outdoor Program","No","Mutual Friends, Board games","Classes, Mutual Friends, Board games","Mutual Friends, Board games","Mutual Friends, Board games","500-1000","100-250","20-50","Satisfied",NA,36,1646,168,1098,433,1011
"19","Thayer Hall","Female","Arabic or Middle Eastern","No","No","None","No","High school","Classes, Pre-Orientation, Social Media, Neighboring cities","Athletics","Dorm","100-250","100-250","20-50","Satisfied",NA,1354,47,782,955,1104,1078
"20","Pennypacker Hall","Male","White","No","No","FOP - First-Year Outdoor Program","No","Dorm","Classes","Mutual Friends","Dorm","100-250","50-100","0-20","Satisfied",NA,862,380,426,1283,1312,977
"21","Canaday Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Club)","Classes, Pre-Orientation, Social Events, Mutual Friends, Social Media","Classes, Pre-Orientation, Social Events, Mutual Friends","Classes, Pre-Orientation, Social Events, Mutual Friends, Social Media, Academic/Pre-Professional Organization","Pre-Orientation, Social Events, Mutual Friends, Social Media","250-500","100-250","50-100","Satisfied",NA,1626,875,275,1406,1570,1570
"22","Holworthy Hall","Male","White","No","No","None","No","We went to high school together","Dorm","Dorm","Dorm","100-250","50-100","0-20","Satisfied",NA,1481,425,659,1610,1353,9999
"23","Mower Hall","Female","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","Yes (Varsity)","Dorm","Athletics","Social Events",NA,"0-50","0-50","0-20","Dissatisfied",NA,513,863,1565,440,9999,417
"24","Apley Court","Male","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","Yes (Club)","Classes, Mutual Friends, Athletics","Mutual Friends, Athletics","Pre-Orientation, Mutual Friends","Mutual Friends","100-250","50-100","250-500","Very Satisfied",NA,1110,886,974,1523,1069,1011
"25","Apley Court","Male","White, Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No","Dorm","Classes, Dorm","Mutual Friends","Dorm","500-1000","100-250","50-100","Neutral",NA,757,182,731,1507,671,1570
"26","Pennypacker Hall","Female","White, Arabic or Middle Eastern","No","No","FIP - First-Year International Program","No","Classes, Dorm, Pre-Orientation","Classes, Dorm","Classes, Dorm, Pre-Orientation","Classes, Dorm, Pre-Orientation","0-50","0-50","0-20","Dissatisfied",NA,32,9999,9999,9999,9999,9999
"27","Weld Hall","Female","White","No","Yes","FIP - First-Year International Program","Yes (Varsity)","Visitas","Pre-Orientation","Pre-Orientation","Pre-Orientation","50-100","50-100","0-20","Satisfied",NA,529,775,9999,1144,472,9999
"28","Thayer Hall","Female","Arabic or Middle Eastern","No","No","FYRE - First-Year Retreat and Experience","No","Visitas","Visitas","Visitas","Visitas","100-250","50-100","50-100","Satisfied",NA,1027,1097,1282,3,420,99
"29","Lionel Hall","Male","White, Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No","High school","Mutual Friends","Dorm","Dorm","250-500","100-250","20-50","Neutral",NA,280,55,335,830,1430,1041
"30","Canaday Hall","Female","White","No","No","None","No","Dorm","Dorm","Pre-Orientation, Social Events","Dorm","50-100","0-50","0-20","Satisfied",NA,471,53,533,1573,1536,1575
"31","Canaday Hall","Female","Black or African American","No","No","FYRE - First-Year Retreat and Experience","No","Pre-Orientation","Classes, Mutual Friends","Over the summer for a program","Social Media, In high school Speech and Debate","250-500","100-250","50-100","Satisfied",NA,303,244,273,1180,1575,1575
"32","Weld Hall","Male","White","No","No","None","Yes (Varsity)","Athletics","Athletics","Athletics","Athletics","50-100","0-50","500-1000","Dissatisfied",NA,672,591,204,98,478,974
"33","Thayer Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Club)","Classes","Pre-Orientation","Mutual Friends","Dorm","100-250","100-250","500-1000","Neutral",NA,263,1150,563,540,1021,540
"34","Grays Hall","Male","White","No","Yes","FOP - First-Year Outdoor Program","No","Social Media","Lamont Library","Classes","Dorm","250-500","100-250","50-100","Dissatisfied",NA,722,285,147,315,727,1575
"35","Thayer Hall","Male","White, Arabic or Middle Eastern","No","No","FYRE - First-Year Retreat and Experience, FCU - Fall Clean-Up with Dorm Crew","No","Mutual Friends, High school","Classes, Dorm, Pre-Orientation, Mutual Friends, Social Media, Academic/Pre-Professional Organization","Classes, Dorm, Pre-Orientation, Mutual Friends","Classes, Dorm, Pre-Orientation, Social Events, Mutual Friends","100-250","0-50","20-50","Very Satisfied",NA,965,1097,709,3,1027,624
"36","Wigglesworth Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No","Dorm","Classes, Mutual Friends","Dorm, Cultural/Racial Organization","Dorm, Social Events, Mutual Friends, Creative/Performing Arts Organization, Cultural/Racial Organization","50-100","100-250","20-50","Neutral",NA,925,595,872,791,508,903
"37","Canaday Hall","Male","White","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Intermural)","Social Events, Athletics","Dorm, Roommate!","Dorm, Roommate","Social Media","250-500","50-100","20-50","Satisfied",NA,614,959,747,514,1573,1575
"38","Wigglesworth Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No","Dorm","Classes, Social Events","Social Events, Mutual Friends, Social Media","Social Events, Mutual Friends","100-250","100-250","0-20","Neutral",NA,754,1388,287,681,854,99
"39","Wigglesworth Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No","Dorm","Classes, Social Events","Social Events, Mutual Friends, Social Media","Social Events, Mutual Friends","100-250","100-250","0-20","Neutral",NA,755,1388,287,681,854,99
"40","Holworthy Hall","Female","White","No","No","FOP - First-Year Outdoor Program","Yes (Club)","Dorm","Dorm","Dorm","Pre-Orientation","250-500","0-50","20-50","Satisfied",NA,1216,327,1111,553,1134,1134
"41","Mower Hall","Female","Asian / Pacific Islander","No","No","FAP - First-Year Arts Program","No","Pre-Orientation, Social Events, Religious Organization","Classes","Mutual Friends","Pre-Orientation","500-1000","250-500","20-50","Satisfied",NA,249,1080,794,599,330,9999
"42","Greenough Hall","Female","White","No","No","FUP - First-Year Urban Program","No","Classes","Classes, Pre-Orientation","Pre-Orientation","Classes, Mutual Friends","50-100","50-100","0-20","Neutral",NA,1319,27,1565,948,1133,1611
"43","Massachusetts Hall","Female","Hispanic or Latino","No","No","None","Yes (Varsity)","Academic/Pre-Professional Organization","Classes, Mutual Friends","Athletics","Classes, Dorm","50-100","0-50","20-50","Neutral",NA,334,860,268,478,1638,1575
"44","Canaday Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Club)","Pre-Orientation","Mutual Friends","Social Media","Classes","1000+","500-1000","250-500","Very Satisfied",NA,1633,1570,1570,1570,1570,1570
"45","Canaday Hall","Male","White","No","No","None","No","Classes","Mutual Friends","Government/Politics Organization","Mutual Friends","250-500","100-250","20-50","Satisfied",NA,915,557,506,912,991,1363
"46","Matthews Hall","Male","White","Yes","Yes","FIP - First-Year International Program","Yes (Varsity)","Athletics","Social Media","Religious Organization","Social Events, Social Media","50-100","0-50","20-50","Satisfied",NA,1478,9999,9999,9999,9999,9999
"47","Greenough Hall","Female","White","No","No","FOP - First-Year Outdoor Program","No","Dorm, Pre-Orientation","Dorm, Pre-Orientation, Mutual Friends","Dorm, Mutual Friends","Dorm, Pre-Orientation, Mutual Friends","0-50","50-100","0-20","Dissatisfied",NA,1537,130,563,954,540,114
"48","Wigglesworth Hall","Male","Hispanic or Latino","No","No","None","No","Dorm, Pre-Orientation","Classes, Pre-Orientation, Mutual Friends","Mutual Friends","Classes, Dorm","0-50","0-50","250-500","Neutral",NA,564,997,1047,753,247,1575
"49","Wigglesworth Hall","Male","Asian / Pacific Islander","No","No","FYRE - First-Year Retreat and Experience","No","Religious Organization","Religious Organization","Orientation","Dorm","100-250","50-100","20-50","Very Satisfied",NA,630,756,878,1401,766,1570
"50","Mower Hall","Female","White, Black or African American, Asian / Pacific Islander","No","No","None","Yes (Varsity)","Classes, Social Events, Mutual Friends","Social Events, Athletics","Social Events, Athletics","Social Events, Mutual Friends","100-250","50-100","20-50","Very Satisfied",NA,1321,309,581,484,461,21
"51","Pennypacker Hall","Female","Arabic or Middle Eastern","No","No","FOP - First-Year Outdoor Program","Yes (Club)","Dorm","Dorm","Pre-Orientation","Cultural/Racial Organization","100-250","50-100","50-100","Satisfied",NA,31,419,32,622,3,99
"52","Stoughton Hall","Male","White, Black or African American","No","No","None","Yes (Intermural)","Dorm","Dorm","Classes, Mutual Friends","Classes","0-50","0-50","0-20","Dissatisfied",NA,526,706,893,1086,983,9999
"53","Wigglesworth Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No","Dorm","Dorm","Dorm","Dorm","50-100","0-50","50-100","Satisfied",NA,618,832,151,1579,902,1575
"54","Mower Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No","Mutual Friends","Planned a conference together","Mutual Friends","Mutual Friends","250-500","100-250","20-50","Satisfied",NA,1461,1475,791,247,797,903
"55","Holworthy Hall","Female","White, Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No","Dorm","Dorm","Mutual Friends","Sweet Greens","100-250","50-100","20-50","Satisfied",NA,1139,1392,1580,1073,385,9999
"56","Pennypacker Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Club)","This is me","This is me","This is me","This is me","100-250","100-250","0-20","Very Satisfied",NA,1401,9999,9999,9999,9999,75
"57","Wigglesworth Hall","Male","White","No","No","FUP - First-Year Urban Program","No","Pre-Orientation","Pre-Orientation","Pre-Orientation","Classes","100-250","50-100","50-100","Satisfied",NA,1611,1010,1603,105,1083,1363
"58","Canaday Hall","Male","White, Black or African American","No","No","FCU - Fall Clean-Up with Dorm Crew","No","Pre-Orientation","Scholarship","Mutual Friends","Pre-Orientation","100-250","50-100","20-50","Neutral",NA,467,873,1343,898,1570,1570
"59","Straus Hall","Male","White, Hispanic or Latino","No","No","None","No","Classes","Dorm","Dorm","Dorm","100-250","100-250","20-50","Satisfied",NA,359,1438,1440,81,255,1512
"60","Weld Hall","Female","White","No","No","None","Yes (Varsity)","Mutual Friends","Athletics","Athletics","Dorm","100-250","100-250","20-50","Satisfied",NA,478,512,204,1287,202,1575
"61","Weld Hall","Female","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","No","Pre-Orientation","Dorm","Pre-Orientation","Pre-Orientation","50-100","0-50","0-20","Neutral",NA,737,498,1408,559,957,97
"62","Wigglesworth Hall","Male","White","No","No","FOP - First-Year Outdoor Program","Yes (Club)","Public Service Organization","Annenberg","Pre-Orientation","Social Events","100-250","50-100","0-20","Dissatisfied",NA,1405,81,343,148,1341,1134
"63","Weld Hall","Female","White","No","No","None","Yes (Varsity)","Dorm","Athletics","Athletics","Athletics","250-500","100-250","20-50","Satisfied",NA,202,478,490,1588,598,1575
"64","Greenough Hall","Male","Black or African American","No","No","FOP - First-Year Outdoor Program","No","Classes, Social Events, Mutual Friends","Classes, Social Events, Mutual Friends","Classes, Pre-Orientation, Social Media, Religious Organization","Classes, Social Events, Mutual Friends","500-1000","100-250","50-100","Satisfied",NA,991,912,506,557,915,775
"65","Matthews Hall","Female","Hispanic or Latino","No","No","FCU - Fall Clean-Up with Dorm Crew","No","Pre-Orientation","Pre-Orientation","Cultural/Racial Organization","Social Events","100-250","50-100","0-20","Satisfied",NA,607,1290,970,241,259,1575
"66","Canaday Hall","Female","White","No","No","None","Yes (Varsity)","Athletics","Athletics","Mutual Friends","Mutual Friends","50-100","50-100","0-20","Satisfied",NA,404,1020,677,123,1533,236
"67","Straus Hall","Male","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","Yes (Club)","Dorm","Dorm","Dorm","Mutual Friends","0-50","50-100","0-20","Dissatisfied",NA,255,81,1440,359,660,1584
