"","id","dorm","gender","race","gap_year","international","pre-orientation","sports","first_id","first_meet","second_id","second_meet","third_id","third_meet","fourth_id","fourth-meet","most_id","know_street","know_by_name","know_annenberg","satisfied","extra"
"1",1223,"Hollis Hall","Female","Black or African American","No","No","FCU - Fall Clean-Up with Dorm Crew","No",69,"Pre-Orientation, Social Media",37,"Classes, Pre-Orientation, Social Events, Social Media, Cultural/Racial Organization",1036,"Pre-Orientation, Social Events, Social Media",587,"Mutual Friends, Cultural/Racial Organization",69,"50-100","50-100","20-50","Very Satisfied",NA
"2",760,"Grays Hall","Female","Asian / Pacific Islander","No","No","None","Yes (Intermural)",794,"Classes, Creative/Performing Arts Organization, Cultural/Racial Organization",319,"Classes, Datamatch",35,"Mutual Friends",34,"Classes",1575,"100-250","50-100","0-20","Satisfied",NA
"3",273,"Thayer Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Intermural)",289,"Dorm, Pre-Orientation",1570,"Pre-Orientation, Social Events, Mutual Friends, Cultural/Racial Organization, Visitas",1030,"Classes, Mutual Friends",303,"Classes, Pre-Orientation, Social Events, Mutual Friends",1575,"500-1000","250-500","100-250","Very Satisfied",NA
"4",1558,"Stoughton Hall","Male","White, Asian / Pacific Islander","Yes","Yes","None","Yes (Varsity)",441,"Athletics",441,"Athletics",1441,"Athletics",981,"Dorm",1358,"50-100","0-50","0-20","Satisfied",NA
"5",626,"Wigglesworth Hall","Female","White, Hispanic or Latino","Yes","No","None","Yes (Club)",105,"Dorm",798,"Dorm",27,"Dorm",647,"Dorm",636,"100-250","50-100","0-20","Satisfied",NA
"6",1596,"Weld Hall","Female","White, Asian / Pacific Islander","No","No","None","No",1099,"Dorm",1408,"Dorm",1503,"Social Events, Mutual Friends",308,"Dorm",1512,"250-500","100-250","0-20","Satisfied",NA
"7",175,"Matthews Hall","Male","White","No","No","FCU - Fall Clean-Up with Dorm Crew","No",99,"Government/Politics Organization",1575,"Social Events, Government/Politics Organization",1229,"Government/Politics Organization",905,"Government/Politics Organization",1575,"250-500","50-100","20-50","Dissatisfied",NA
"8",710,"Greenough Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",1285,"Dorm, Before College",1087,"Before College",872,"Mutual Friends",1102,"Mutual Friends, Before College",1575,"500-1000","250-500","100-250","Satisfied",NA
"9",1459,"Canaday Hall","Female","Black or African American","No","No","FYRE - First-Year Retreat and Experience","No",1472,"Classes, Pre-Orientation",38,"Classes, Social Events, Mutual Friends, Cultural/Racial Organization",276,"Classes, Mutual Friends, Cultural/Racial Organization",750,"Dorm",18,"100-250","50-100","0-20","Satisfied",NA
"10",1126,"Stoughton Hall","Female","Black or African American","Yes","Yes","None","Yes (Varsity)",494,"Athletics",1471,"Athletics",1235,"Athletics",312,"Athletics",1321,"100-250","0-50","0-20","Very Satisfied",NA
"11",278,"Canaday Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Varsity)",1012,"Athletics",1557,"Pre-Orientation",511,"Athletics",1231,"Annenberg",1575,"100-250","50-100","50-100","Satisfied",NA
"12",108,"Pennypacker Hall","Female","White","No","No","FCU - Fall Clean-Up with Dorm Crew","No",1228,"Dorm",666,"Dorm",390,"Dorm",1401,"Dorm",1654,"0-50","0-50","0-20","Satisfied",NA
"13",696,"Weld Hall","Female","Black or African American","No","No","FCU - Fall Clean-Up with Dorm Crew","No",539,"Visitas",384,"Visitas",184,"Cultural/Racial Organization",1158,"Visitas",303,"50-100","50-100","20-50","Satisfied",NA
"14",765,"Matthews Hall","Female","White","No","No","FOP - First-Year Outdoor Program","Yes (Club)",1557,"Visitas",1109,"Athletics",692,"Athletics",34,"Pre-Orientation",1348,"250-500","100-250","20-50","Satisfied",NA
"15",1383,"Greenough Hall","Female","White","No","No","None","Yes (Varsity)",1629,"Mutual Friends",620,"Athletics",1012,"Dorm",1531,"Social Events",1011,"100-250","50-100","20-50","Satisfied",NA
"16",926,"Weld Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",1212,"Dorm",1187,"Mutual Friends",134,"Classes",519,"Harvard Club of Philadelphia event",1236,"100-250","50-100","20-50","Neutral",NA
"17",494,"Greenough Hall","Female","White","No","No","FOP - First-Year Outdoor Program","Yes (Varsity)",1126,"Classes, Athletics",1235,"Athletics",1471,"Athletics",575,"Dorm",78,"100-250","50-100","20-50","Satisfied",NA
"18",36,"Grays Hall","Male","White","No","No","FOP - First-Year Outdoor Program","No",1646,"Mutual Friends, Board games",168,"Classes, Mutual Friends, Board games",1098,"Mutual Friends, Board games",433,"Mutual Friends, Board games",1011,"500-1000","100-250","20-50","Satisfied",NA
"19",1354,"Thayer Hall","Female","Arabic or Middle Eastern","No","No","None","No",47,"High school",782,"Classes, Pre-Orientation, Social Media, Neighboring cities",955,"Athletics",1104,"Dorm",1078,"100-250","100-250","20-50","Satisfied",NA
