"","id","group","label","font.size"
"1","1","Student","1",NA
"2","2","Student","2",NA
"3","3","Student","3",NA
"4","4","Student","4",NA
"5","5","Student","5",NA
"6","6","Student","6",NA
"7","7","Student","7",NA
"8","8","Student","8",NA
"9","9","Student","9",NA
"10","10","Student","10",NA
"11","11","Student","11",NA
"12","12","Student","12",NA
"13","13","Student","13",NA
"14","14","Student","14",NA
"15","15","Student","15",NA
"16","16","Student","16",NA
"17","17","Student","17",NA
"18","18","Student","18",NA
"19","19","Student","19",NA
"20","20","Student","20",NA
"21","21","Student","21",NA
"22","22","Student","22",NA
"23","23","Student","23",NA
"24","24","Student","24",NA
"25","25","Student","25",NA
"26","26","Student","26",NA
"27","27","Student","27",NA
"28","28","Student","28",NA
"29","29","Student","29",NA
"30","30","Student","30",NA
"31","31","Student","31",NA
"32","32","Student","32",NA
"33","33","Student","33",NA
"34","34","Student","34",NA
"35","35","Student","35",NA
"36","36","Student","36",NA
"37","37","Student","37",NA
"38","38","Student","38",NA
"39","39","Student","39",NA
"40","40","Student","40",NA
"41","41","Student","41",NA
"42","42","Student","42",NA
"43","43","Student","43",NA
"44","44","Student","44",NA
"45","45","Student","45",NA
"46","46","Student","46",NA
"47","47","Student","47",NA
"48","48","Student","48",NA
"49","49","Student","49",NA
"50","50","Student","50",NA
"51","51","Student","51",NA
"52","52","Student","52",NA
"53","53","Student","53",NA
"54","54","Student","54",NA
"55","55","Student","55",NA
"56","56","Student","56",NA
"57","57","Student","57",NA
"58","58","Student","58",NA
"59","59","Student","59",NA
"60","60","Student","60",NA
"61","61","Student","61",NA
"62","62","Student","62",NA
"63","63","Student","63",NA
"64","64","Student","64",NA
"65","65","Student","65",NA
"66","66","Student","66",NA
"67","67","Student","67",NA
"68","68","Student","68",NA
"69","69","Student","69",NA
"70","70","Student","70",NA
"71","71","Student","71",NA
"72","72","Student","72",NA
"73","73","Student","73",NA
"74","74","Student","74",NA
"75","75","Student","75",NA
"76","76","Student","76",NA
"77","77","Student","77",NA
"78","78","Student","78",NA
"79","79","Student","79",NA
"80","80","Student","80",NA
"81","81","Student","81",NA
"82","82","Student","82",NA
"83","83","Student","83",NA
"84","84","Student","84",NA
"85","85","Student","85",NA
"86","86","Student","86",NA
"87","87","Student","87",NA
"88","88","Student","88",NA
"89","89","Student","89",NA
"90","90","Student","90",NA
"91","91","Student","91",NA
"92","92","Student","92",NA
"93","93","Student","93",NA
"94","94","Student","94",NA
"95","95","Student","95",NA
"96","96","Student","96",NA
"97","97","Student","97",NA
"98","98","Student","98",NA
"99","99","Student","99",NA
"100","100","Student","100",NA
"101","101","Student","101",NA
"102","102","Student","102",NA
"103","103","Student","103",NA
"104","104","Student","104",NA
"105","105","Student","105",NA
"106","106","Student","106",NA
"107","107","Student","107",NA
"108","108","Student","108",NA
"109","109","Student","109",NA
"110","110","Student","110",NA
"111","111","Student","111",NA
"112","112","Student","112",NA
"113","113","Student","113",NA
"114","114","Student","114",NA
"115","115","Student","115",NA
"116","116","Student","116",NA
"117","117","Student","117",NA
"118","118","Student","118",NA
"119","119","Student","119",NA
"120","120","Student","120",NA
"121","121","Student","121",NA
"122","122","Student","122",NA
"123","123","Student","123",NA
"124","124","Student","124",NA
"125","125","Student","125",NA
"126","126","Student","126",NA
"127","127","Student","127",NA
"128","128","Student","128",NA
"129","129","Student","129",NA
"130","130","Student","130",NA
"131","131","Student","131",NA
"132","132","Student","132",NA
"133","133","Student","133",NA
"134","134","Student","134",NA
"135","135","Student","135",NA
"136","136","Student","136",NA
"137","137","Student","137",NA
"138","138","Student","138",NA
"139","139","Student","139",NA
"140","140","Student","140",NA
"141","141","Student","141",NA
"142","142","Student","142",NA
"143","143","Student","143",NA
"144","144","Student","144",NA
"145","145","Student","145",NA
"146","146","Student","146",NA
"147","147","Student","147",NA
"148","148","Student","148",NA
"149","149","Student","149",NA
"150","150","Student","150",NA
"151","151","Student","151",NA
"152","152","Student","152",NA
"153","153","Student","153",NA
"154","154","Student","154",NA
"155","155","Student","155",NA
"156","156","Student","156",NA
"157","157","Student","157",NA
"158","158","Student","158",NA
"159","159","Student","159",NA
"160","160","Student","160",NA
"161","161","Student","161",NA
"162","162","Student","162",NA
"163","163","Student","163",NA
"164","164","Student","164",NA
"165","165","Student","165",NA
"166","166","Student","166",NA
"167","167","Student","167",NA
"168","168","Student","168",NA
"169","169","Student","169",NA
"170","170","Student","170",NA
"171","171","Student","171",NA
"172","172","Student","172",NA
"173","173","Student","173",NA
"174","174","Student","174",NA
"175","175","Student","175",NA
"176","176","Student","176",NA
"177","177","Student","177",NA
"178","178","Student","178",NA
"179","179","Student","179",NA
"180","180","Student","180",NA
"181","181","Student","181",NA
"182","182","Student","182",NA
"183","183","Student","183",NA
"184","184","Student","184",NA
"185","185","Student","185",NA
"186","186","Student","186",NA
"187","187","Student","187",NA
"188","188","Student","188",NA
"189","189","Student","189",NA
"190","190","Student","190",NA
"191","191","Student","191",NA
"192","192","Student","192",NA
"193","193","Student","193",NA
"194","194","Student","194",NA
"195","195","Student","195",NA
"196","196","Student","196",NA
"197","197","Student","197",NA
"198","198","Student","198",NA
"199","199","Student","199",NA
"200","200","Student","200",NA
"201","201","Student","201",NA
"202","202","Student","202",NA
"203","203","Student","203",NA
"204","204","Student","204",NA
"205","205","Student","205",NA
"206","206","Student","206",NA
"207","207","Student","207",NA
"208","208","Student","208",NA
"209","209","Student","209",NA
"210","210","Student","210",NA
"211","211","Student","211",NA
"212","212","Student","212",NA
"213","213","Student","213",NA
"214","214","Student","214",NA
"215","215","Student","215",NA
"216","216","Student","216",NA
"217","217","Student","217",NA
"218","218","Student","218",NA
"219","219","Student","219",NA
"220","220","Student","220",NA
"221","221","Student","221",NA
"222","222","Student","222",NA
"223","223","Student","223",NA
"224","224","Student","224",NA
"225","225","Student","225",NA
"226","226","Student","226",NA
"227","227","Student","227",NA
"228","228","Student","228",NA
"229","229","Student","229",NA
"230","230","Student","230",NA
"231","231","Student","231",NA
"232","232","Student","232",NA
"233","233","Student","233",NA
"234","234","Student","234",NA
"235","235","Student","235",NA
"236","236","Student","236",NA
"237","237","Student","237",NA
"238","238","Student","238",NA
"239","239","Student","239",NA
"240","240","Student","240",NA
"241","241","Student","241",NA
"242","242","Student","242",NA
"243","243","Student","243",NA
"244","244","Student","244",NA
"245","245","Student","245",NA
"246","246","Student","246",NA
"247","247","Student","247",NA
"248","248","Student","248",NA
"249","249","Student","249",NA
"250","250","Student","250",NA
"251","251","Student","251",NA
"252","252","Student","252",NA
"253","253","Student","253",NA
"254","254","Student","254",NA
"255","255","Student","255",NA
"256","256","Student","256",NA
"257","257","Student","257",NA
"258","258","Student","258",NA
"259","259","Student","259",NA
"260","260","Student","260",NA
"261","261","Student","261",NA
"262","262","Student","262",NA
"263","263","Student","263",NA
"264","264","Student","264",NA
"265","265","Student","265",NA
"266","266","Student","266",NA
"267","267","Student","267",NA
"268","268","Student","268",NA
"269","269","Student","269",NA
"270","270","Student","270",NA
"271","271","Student","271",NA
"272","272","Student","272",NA
"273","273","Student","273",NA
"274","274","Student","274",NA
"275","275","Student","275",NA
"276","276","Student","276",NA
"277","277","Student","277",NA
"278","278","Student","278",NA
"279","279","Student","279",NA
"280","280","Student","280",NA
"281","281","Student","281",NA
"282","282","Student","282",NA
"283","283","Student","283",NA
"284","284","Student","284",NA
"285","285","Student","285",NA
"286","286","Student","286",NA
"287","287","Student","287",NA
"288","288","Student","288",NA
"289","289","Student","289",NA
"290","290","Student","290",NA
"291","291","Student","291",NA
"292","292","Student","292",NA
"293","293","Student","293",NA
"294","294","Student","294",NA
"295","295","Student","295",NA
"296","296","Student","296",NA
"297","297","Student","297",NA
"298","298","Student","298",NA
"299","299","Student","299",NA
"300","300","Student","300",NA
"301","301","Student","301",NA
"302","302","Student","302",NA
"303","303","Student","303",NA
"304","304","Student","304",NA
"305","305","Student","305",NA
"306","306","Student","306",NA
"307","307","Student","307",NA
"308","308","Student","308",NA
"309","309","Student","309",NA
"310","310","Student","310",NA
"311","311","Student","311",NA
"312","312","Student","312",NA
"313","313","Student","313",NA
"314","314","Student","314",NA
"315","315","Student","315",NA
"316","316","Student","316",NA
"317","317","Student","317",NA
"318","318","Student","318",NA
"319","319","Student","319",NA
"320","320","Student","320",NA
"321","321","Student","321",NA
"322","322","Student","322",NA
"323","323","Student","323",NA
"324","324","Student","324",NA
"325","325","Student","325",NA
"326","326","Student","326",NA
"327","327","Student","327",NA
"328","328","Student","328",NA
"329","329","Student","329",NA
"330","330","Student","330",NA
"331","331","Student","331",NA
"332","332","Student","332",NA
"333","333","Student","333",NA
"334","334","Student","334",NA
"335","335","Student","335",NA
"336","336","Student","336",NA
"337","337","Student","337",NA
"338","338","Student","338",NA
"339","339","Student","339",NA
"340","340","Student","340",NA
"341","341","Student","341",NA
"342","342","Student","342",NA
"343","343","Student","343",NA
"344","344","Student","344",NA
"345","345","Student","345",NA
"346","346","Student","346",NA
"347","347","Student","347",NA
"348","348","Student","348",NA
"349","349","Student","349",NA
"350","350","Student","350",NA
"351","351","Student","351",NA
"352","352","Student","352",NA
"353","353","Student","353",NA
"354","354","Student","354",NA
"355","355","Student","355",NA
"356","356","Student","356",NA
"357","357","Student","357",NA
"358","358","Student","358",NA
"359","359","Student","359",NA
"360","360","Student","360",NA
"361","361","Student","361",NA
"362","362","Student","362",NA
"363","363","Student","363",NA
"364","364","Student","364",NA
"365","365","Student","365",NA
"366","366","Student","366",NA
"367","367","Student","367",NA
"368","368","Student","368",NA
"369","369","Student","369",NA
"370","370","Student","370",NA
"371","371","Student","371",NA
"372","372","Student","372",NA
"373","373","Student","373",NA
"374","374","Student","374",NA
"375","375","Student","375",NA
"376","376","Student","376",NA
"377","377","Student","377",NA
"378","378","Student","378",NA
"379","379","Student","379",NA
"380","380","Student","380",NA
"381","381","Student","381",NA
"382","382","Student","382",NA
"383","383","Student","383",NA
"384","384","Student","384",NA
"385","385","Student","385",NA
"386","386","Student","386",NA
"387","387","Student","387",NA
"388","388","Student","388",NA
"389","389","Student","389",NA
"390","390","Student","390",NA
"391","391","Student","391",NA
"392","392","Student","392",NA
"393","393","Student","393",NA
"394","394","Student","394",NA
"395","395","Student","395",NA
"396","396","Student","396",NA
"397","397","Student","397",NA
"398","398","Student","398",NA
"399","Varsity","Sports","Varsity",150
"400","Club","Sports","Club",150
"401","Intramural","Sports","Intramural",150
"402","FAP - First-Year Arts Program","Pre-Orientation","FAP - First-Year Arts Program",150
"403","FCU - Fall Clean-Up with Dorm Crew","Pre-Orientation","FCU - Fall Clean-Up with Dorm Crew",150
"404","FIP - First-Year International Program","Pre-Orientation","FIP - First-Year International Program",150
"405","FOP - First-Year Outdoor Program","Pre-Orientation","FOP - First-Year Outdoor Program",150
"406","FUP - First-Year Urban Program","Pre-Orientation","FUP - First-Year Urban Program",150
"407","FYRE - First-Year Retreat and Experience","Pre-Orientation","FYRE - First-Year Retreat and Experience",150
"408","Hollis Hall","Dorms","Hollis Hall",150
"409","Grays Hall","Dorms","Grays Hall",150
"410","Thayer Hall","Dorms","Thayer Hall",150
"411","Stoughton Hall","Dorms","Stoughton Hall",150
"412","Wigglesworth Hall","Dorms","Wigglesworth Hall",150
"413","Weld Hall","Dorms","Weld Hall",150
"414","Matthews Hall","Dorms","Matthews Hall",150
"415","Greenough Hall","Dorms","Greenough Hall",150
"416","Canaday Hall","Dorms","Canaday Hall",150
"417","Pennypacker Hall","Dorms","Pennypacker Hall",150
"418","Lionel Hall","Dorms","Lionel Hall",150
"419","Straus Hall","Dorms","Straus Hall",150
"420","Holworthy Hall","Dorms","Holworthy Hall",150
"421","Mower Hall","Dorms","Mower Hall",150
"422","Apley Court","Dorms","Apley Court",150
"423","Hurlbut Hall","Dorms","Hurlbut Hall",150
"424","Massachusetts Hall","Dorms","Massachusetts Hall",150
